
Wavelength,WSG23_00006.spu,WSG23_00007.spu,WSG23_00008.spu,WSG23_00009.spu,WSG23_00010.spu,WSG23_00011.spu,WSG23_00012.spu,WSG23_00013.spu,WSG23_00014.spu,WSG23_00015.spu,WSG23_00016.spu,WSG23_00017.spu,WSG23_00018.spu,WSG23_00019.spu,WSG23_00020.spu,WSG23_00021.spu,WSG23_00022.spu,WSG23_00023.spu,WSG23_00024.spu,WSG23_00025.spu,WSG23_00026.spu,WSG23_00027.spu,WSG23_00028.spu,WSG23_00029.spu,WSG23_00030.spu,WSG23_00031.spu,WSG23_00032.spu,WSG23_00033.spu,WSG23_00034.spu,WSG23_00035.spu,WSG23_00036.spu,WSG23_00037.spu,WSG23_00038.spu,WSG23_00039.spu,WSG23_00040.spu,WSG23_00041.spu,WSG23_00042.spu,WSG23_00043.spu,WSG23_00044.spu,WSG23_00045.spu
  (nm),7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 
  time  ,21:28 PM,21:54 PM,22:08 PM,22:23 PM,22:45 PM,23:39 PM,24:04 PM,24:26 PM,24:48 PM,25:06 PM,26:03 PM,26:18 PM,26:32 PM,26:47 PM,27:15 PM,27:57 PM,28:27 PM,28:46 PM,29:02 PM,29:21 PM,31:05 PM,31:17 PM,31:32 PM,31:51 PM,32:05 PM,32:34 PM,32:46 PM,32:58 PM,33:09 PM,33:19 PM,33:42 PM,33:53 PM,34:06 PM,34:25 PM,34:38 PM,35:21 PM,35:33 PM,35:44 PM,36:01 PM,36:16 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0.00283 , 0.00761 , 0 , 0 , 0 , 0.00646 , 0.00514 , 0.00654 , 0 , 0 , 0.0014 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 316 , 0 , 0 , 0.00864 , 0.02323 , 0 , 0 , 0 , 0.01963 , 0.01563 , 0.01998 , 0 , 0 , 0.00424 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
